Virus GENBANK accession,Realm,Kingdom,Phylum,Class,Order,Family,Genus,Species
CASDWV010000002,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Overwhuvirus,Overwhuvirus caenihabitans
CASDWV010001141,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Owenocuvirus,Owenocuvirus choradaptatum
CASDWV010001557,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Owenocuvirus,Owenocuvirus chthonocola
BK014170,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Owenocuvirus,Owenocuvirus pelohabitans
CASDWV010001954,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus arvenecus
CASDWV010003034,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus edaphenecus
CASDWV010004422,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus geoenecus
BK013491,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus humadaptatum
CASDWV010002058,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus humenecus
CASDWV010001227,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus humihabitans
CASDWV010003848,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus limadaptatum
MZ679756,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus montisadaptatum
CASDWV010000089,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus pedocola
CASDWV010000125,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus pelocola
BK013863,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus tellurivicinum
BK013395,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus tellurivivens
BK013824,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus terrenecus
BK013983,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus terricola
BK013489,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus terrihabitans
BK013569,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus terrivicinum
BK013996,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Oxychlovirus,Oxychlovirus terrivivens
CASDWV010001461,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pailtovirus,Pailtovirus arvivivens
CASDWV010001793,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Paloswovirus,Paloswovirus lutivivens
BK013623,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Palsdevirus,Palsdevirus asienecus
BK014128,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Paysduvirus,Paysduvirus asiocola
CASDWV010004978,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pedhlovirus,Pedhlovirus caenenecus
BK013628,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pehohrivirus,Pehohrivirus asiohabitans
BK013651,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pehohrivirus,Pehohrivirus asiovicinum
BK013679,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pehsaduvirus,Pehsaduvirus asiovivens
MZ679749,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus,Pepevirus faecenecus
MZ679793,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus,Pepevirus faecicola
MZ679799,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus,Pepevirus faecihabitans
MZ679706,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus,Pepevirus faecivicinum
MZ679731,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus,Pepevirus faecivivens
LT821717,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus,Pepevirus persistens
X80191,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pepevirus,Pepevirus rubrum
MZ679594,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Perrunavirus,Perrunavirus faecadaptatum
MZ679782,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Perrunavirus,Perrunavirus faecihabitans
MZ679590,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Perrunavirus,Perrunavirus faecivivens
DQ836063,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Perrunavirus,Perrunavirus olsenii
CASDWV010002915,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Perrunavirus,Perrunavirus radicicola
BK014077,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Philtcovirus,Philtcovirus borboradaptatum
BK013961,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Phobpsivirus,Phobpsivirus agradaptatum
BK013436,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Phobpsivirus,Phobpsivirus agricola
CASDWV010001350,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Phobpsivirus,Phobpsivirus neoagradaptatum
CASDWV010002785,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Phobpsivirus,Phobpsivirus pedadaptatum
CASDWV010003635,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Phobpsivirus,Phobpsivirus pedovicinum
CASDWV010002894,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Phobpsivirus,Phobpsivirus pedovivens
CASDWV010002068,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Phobpsivirus,Phobpsivirus segeticola
CASDWV010001634,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Piceduvirus,Piceduvirus segetivivens
CASDWV010001738,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pihlevirus,Pihlevirus pelenecus
CASDWV010001681,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pilordavirus,Pilordavirus caenivivens
CASDWV010002639,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Piponevirus,Piponevirus agradaptatum
BK014113,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Piponevirus,Piponevirus borborenecus
BK013592,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Piponevirus,Piponevirus borborocola
CASDWV010002156,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Piponevirus,Piponevirus soladaptatum
BK013503,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus arvadaptatum
BK013990,Riboviria,Orthornavirae,Lenarviricota,Leviviricetes,Norzivirales,Fiersviridae,Pohlevirus,Pohlevirus arvenecus
