Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM3050_S3_R1	(1.0, 20.994522677575965)	(2.0, 2.0503339848518207)	(3.0, 1.0235830753254676)	(4.0, 0.6969126205950602)	(5.0, 0.5271629055912403)	(6.0, 0.40846584525940116)	(7.0, 0.35074794363917366)	(8.0, 0.29149956612746486)	(9.0, 0.2610937241964895)	('>10', 4.258818147378573)	('>50', 2.5769958570518217)	('>100', 11.178180980271234)	('>500', 8.092990451091502)	('>1k', 25.187142951325335)	('>5k', 10.138484922562535)	('>10k+', 11.963064347156912)
PM3050_S3_R2	(1.0, 23.850172302657924)	(2.0, 2.068936222559808)	(3.0, 0.9834797146557913)	(4.0, 0.6234658148176399)	(5.0, 0.4398149648447004)	(6.0, 0.34228871582355147)	(7.0, 0.2605817515928555)	(8.0, 0.23760836736608504)	(9.0, 0.18764465176672543)	('>10', 2.906414592403567)	('>50', 2.4667426297677)	('>100', 14.85666554221608)	('>500', 11.809062414731834)	('>1k', 25.81120608638578)	('>5k', 7.367608374190772)	('>10k+', 5.788307854219197)
PM3051_S4_R1	(1.0, 9.5696627914981)	(2.0, 1.545690374880852)	(3.0, 0.9443517361313261)	(4.0, 0.6773530347776788)	(5.0, 0.5379285818407102)	(6.0, 0.42817812006806044)	(7.0, 0.3659039178725221)	(8.0, 0.31037827753743485)	(9.0, 0.2874666768810173)	('>10', 4.81841028794069)	('>50', 2.9846068326592716)	('>100', 12.90313118053755)	('>500', 10.4624576123735)	('>1k', 30.231849419442604)	('>5k', 12.519047060717984)	('>10k+', 11.413584094840711)
PM3051_S4_R2	(1.0, 14.360729501339733)	(2.0, 1.9779644946433563)	(3.0, 1.0945735305407596)	(4.0, 0.7382457061660552)	(5.0, 0.531561239994494)	(6.0, 0.39139408282405375)	(7.0, 0.3210245750040332)	(8.0, 0.2641641080373027)	(9.0, 0.20720747006203244)	('>10', 3.5105872113424885)	('>50', 2.8467798901706893)	('>100', 17.208392365927274)	('>500', 13.850239555678453)	('>1k', 32.76375317535341)	('>5k', 6.984328770594293)	('>10k+', 2.9490543223215773)
PM3153_S5_R1	(1.0, 13.44082754490813)	(2.0, 1.7222737014032037)	(3.0, 1.0113286097118726)	(4.0, 0.7244154616871312)	(5.0, 0.5502961351833326)	(6.0, 0.4318366126682971)	(7.0, 0.3742949370253156)	(8.0, 0.3123881320567647)	(9.0, 0.30006073011294304)	('>10', 4.732571257497824)	('>50', 3.0458464901956837)	('>100', 13.355412733034852)	('>500', 10.89365792213009)	('>1k', 31.509128155515214)	('>5k', 10.523513688165222)	('>10k+', 7.072147888704122)
PM3153_S5_R2	(1.0, 17.56106200684101)	(2.0, 2.07017814263736)	(3.0, 1.1097317755070655)	(4.0, 0.7344573955273074)	(5.0, 0.49917825660733334)	(6.0, 0.375683820908636)	(7.0, 0.2840522638752092)	(8.0, 0.24750673934158282)	(9.0, 0.20777721441312524)	('>10', 3.1889752936250475)	('>50', 2.725521193561616)	('>100', 17.315126799604887)	('>500', 14.159961972400781)	('>1k', 31.860610524407836)	('>5k', 5.517812632063861)	('>10k+', 2.1423639686773472)
PM3183_S6_R1	(1.0, 5.0350659869527075)	(2.0, 1.295032788609295)	(3.0, 0.8518449657383563)	(4.0, 0.646228523902324)	(5.0, 0.5175431070934835)	(6.0, 0.4532030114631186)	(7.0, 0.37627973110199636)	(8.0, 0.3264024366361899)	(9.0, 0.29205212203537195)	('>10', 4.7602166937907295)	('>50', 2.676102198294557)	('>100', 10.294065270995265)	('>500', 7.9784077457709826)	('>1k', 27.072264852483247)	('>5k', 14.383583617277582)	('>10k+', 23.0417069478548)
PM3183_S6_R2	(1.0, 9.283821491719877)	(2.0, 1.8612032942622856)	(3.0, 1.1137484038828622)	(4.0, 0.7788126094454857)	(5.0, 0.5622400331449975)	(6.0, 0.47111683662347187)	(7.0, 0.3675377776663755)	(8.0, 0.32831062313837633)	(9.0, 0.2723253491056303)	('>10', 3.8496550551625472)	('>50', 2.5366662409589464)	('>100', 13.729443783035613)	('>500', 12.047320428079397)	('>1k', 35.10934776091764)	('>5k', 9.875057596479595)	('>10k+', 7.813392716376898)
Undetermined_S0_R1	(1.0, 18.133218272395958)	(2.0, 2.12465131685578)	(3.0, 1.2073422935063751)	(4.0, 0.8251771758982177)	(5.0, 0.7356182332161029)	(6.0, 0.6861317432598167)	(7.0, 0.7373487828416424)	(8.0, 0.7525770776378027)	(9.0, 0.7836880884013807)	('>10', 10.877099792294487)	('>50', 4.114110165990603)	('>100', 18.010191346856132)	('>500', 10.50471332782191)	('>1k', 21.578412129658716)	('>5k', 4.729388021619461)	('>10k+', 4.2003322317456115)
Undetermined_S0_R2	(1.0, 30.327464236168012)	(2.0, 1.843296938049923)	(3.0, 0.9266040107507092)	(4.0, 0.7051221937617769)	(5.0, 0.6838819026552929)	(6.0, 0.713279878740629)	(7.0, 0.7871619599063424)	(8.0, 0.7787533600888127)	(9.0, 0.7648989422128315)	('>10', 8.790658749282647)	('>50', 5.312780092971948)	('>100', 22.40600611251247)	('>500', 11.450741374323114)	('>1k', 13.368384516886689)	('>5k', 0.6501346426855162)	('>10k+', 0.49083108900328926)
