Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
PM2622_S32_R1	(2.0, 1277.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 32.0)	(17.0, 617.0)	(18.0, 7690.0)	(19.0, 42071.0)	(20.0, 112040.0)	(21.0, 167017.0)	(22.0, 184959.0)	(23.0, 171473.0)	(24.0, 170684.0)	(25.0, 170171.0)	(26.0, 178068.0)	(27.0, 189645.0)	(28.0, 216765.0)	(29.0, 239485.0)	(30.0, 276856.0)	(31.0, 317650.0)	(32.0, 385955.0)	(33.0, 457199.0)	(34.0, 589636.0)	(35.0, 814396.0)	(36.0, 1270743.0)	(37.0, 1895159.0)	(38.0, 3491877.0)	(39.0, 14402569.0)	(40.0, 12987126.0)
PM2622_S32_R2	(2.0, 1042.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 82.0)	(15.0, 1509.0)	(16.0, 11771.0)	(17.0, 41391.0)	(18.0, 98665.0)	(19.0, 175770.0)	(20.0, 243699.0)	(21.0, 240462.0)	(22.0, 192485.0)	(23.0, 149960.0)	(24.0, 139687.0)	(25.0, 135734.0)	(26.0, 141458.0)	(27.0, 150620.0)	(28.0, 172648.0)	(29.0, 188899.0)	(30.0, 216352.0)	(31.0, 248023.0)	(32.0, 300982.0)	(33.0, 356757.0)	(34.0, 460130.0)	(35.0, 634256.0)	(36.0, 987566.0)	(37.0, 1453916.0)	(38.0, 2793884.0)	(39.0, 12675682.0)	(40.0, 16527727.0)
PM3050_S3_R1	(2.0, 1363.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 37.0)	(20.0, 148.0)	(21.0, 512.0)	(22.0, 1364.0)	(23.0, 3488.0)	(24.0, 7674.0)	(25.0, 15500.0)	(26.0, 28325.0)	(27.0, 49049.0)	(28.0, 77813.0)	(29.0, 117396.0)	(30.0, 166589.0)	(31.0, 227296.0)	(32.0, 299872.0)	(33.0, 387725.0)	(34.0, 504374.0)	(35.0, 691515.0)	(36.0, 1126793.0)	(37.0, 2501399.0)			
PM3050_S3_R2	(2.0, 1339.0)	(3.0, 1.0)	(4.0, 4.0)	(5.0, 13.0)	(6.0, 15.0)	(7.0, 22.0)	(8.0, 28.0)	(9.0, 22.0)	(10.0, 37.0)	(11.0, 31.0)	(12.0, 54.0)	(13.0, 146.0)	(14.0, 598.0)	(15.0, 1731.0)	(16.0, 3057.0)	(17.0, 4566.0)	(18.0, 6282.0)	(19.0, 8331.0)	(20.0, 11259.0)	(21.0, 15808.0)	(22.0, 22137.0)	(23.0, 30597.0)	(24.0, 42458.0)	(25.0, 57997.0)	(26.0, 77030.0)	(27.0, 100160.0)	(28.0, 128245.0)	(29.0, 162348.0)	(30.0, 203062.0)	(31.0, 252371.0)	(32.0, 314715.0)	(33.0, 393701.0)	(34.0, 509280.0)	(35.0, 701048.0)	(36.0, 1151759.0)	(37.0, 2007986.0)			
PM3051_S4_R1	(2.0, 1827.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 4.0)	(18.0, 8.0)	(19.0, 32.0)	(20.0, 141.0)	(21.0, 446.0)	(22.0, 1174.0)	(23.0, 3050.0)	(24.0, 6586.0)	(25.0, 12987.0)	(26.0, 23660.0)	(27.0, 39887.0)	(28.0, 62535.0)	(29.0, 92851.0)	(30.0, 130256.0)	(31.0, 175118.0)	(32.0, 228666.0)	(33.0, 294594.0)	(34.0, 379258.0)	(35.0, 520066.0)	(36.0, 843198.0)	(37.0, 1789536.0)			
PM3051_S4_R2	(2.0, 1746.0)	(3.0, 0.0)	(4.0, 5.0)	(5.0, 11.0)	(6.0, 21.0)	(7.0, 10.0)	(8.0, 27.0)	(9.0, 23.0)	(10.0, 23.0)	(11.0, 30.0)	(12.0, 29.0)	(13.0, 83.0)	(14.0, 322.0)	(15.0, 846.0)	(16.0, 1522.0)	(17.0, 2429.0)	(18.0, 3989.0)	(19.0, 6388.0)	(20.0, 10034.0)	(21.0, 14983.0)	(22.0, 21670.0)	(23.0, 30776.0)	(24.0, 42410.0)	(25.0, 56909.0)	(26.0, 73299.0)	(27.0, 93213.0)	(28.0, 116496.0)	(29.0, 143699.0)	(30.0, 174338.0)	(31.0, 210880.0)	(32.0, 256245.0)	(33.0, 314656.0)	(34.0, 398248.0)	(35.0, 537750.0)	(36.0, 853277.0)	(37.0, 1239493.0)			
PM3153_S5_R1	(2.0, 1127.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 6.0)	(19.0, 23.0)	(20.0, 133.0)	(21.0, 434.0)	(22.0, 1215.0)	(23.0, 3177.0)	(24.0, 7008.0)	(25.0, 14038.0)	(26.0, 25875.0)	(27.0, 44167.0)	(28.0, 70218.0)	(29.0, 103801.0)	(30.0, 146014.0)	(31.0, 197237.0)	(32.0, 258328.0)	(33.0, 331032.0)	(34.0, 428738.0)	(35.0, 583688.0)	(36.0, 938727.0)	(37.0, 1968952.0)			
PM3153_S5_R2	(2.0, 1078.0)	(3.0, 1.0)	(4.0, 2.0)	(5.0, 7.0)	(6.0, 15.0)	(7.0, 17.0)	(8.0, 12.0)	(9.0, 28.0)	(10.0, 28.0)	(11.0, 30.0)	(12.0, 42.0)	(13.0, 84.0)	(14.0, 288.0)	(15.0, 745.0)	(16.0, 1420.0)	(17.0, 2296.0)	(18.0, 4162.0)	(19.0, 6706.0)	(20.0, 10417.0)	(21.0, 16085.0)	(22.0, 24070.0)	(23.0, 34416.0)	(24.0, 47619.0)	(25.0, 63924.0)	(26.0, 82925.0)	(27.0, 105149.0)	(28.0, 131698.0)	(29.0, 161572.0)	(30.0, 195343.0)	(31.0, 235955.0)	(32.0, 285170.0)	(33.0, 349626.0)	(34.0, 439739.0)	(35.0, 589052.0)	(36.0, 930712.0)	(37.0, 1403505.0)			
PM3183_S6_R1	(2.0, 2545.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 10.0)	(19.0, 28.0)	(20.0, 135.0)	(21.0, 421.0)	(22.0, 1227.0)	(23.0, 2878.0)	(24.0, 6331.0)	(25.0, 12712.0)	(26.0, 22980.0)	(27.0, 39181.0)	(28.0, 60889.0)	(29.0, 89389.0)	(30.0, 125440.0)	(31.0, 167988.0)	(32.0, 217816.0)	(33.0, 278901.0)	(34.0, 356581.0)	(35.0, 483436.0)	(36.0, 771979.0)	(37.0, 1556779.0)			
PM3183_S6_R2	(2.0, 2488.0)	(3.0, 2.0)	(4.0, 2.0)	(5.0, 8.0)	(6.0, 11.0)	(7.0, 2.0)	(8.0, 19.0)	(9.0, 21.0)	(10.0, 17.0)	(11.0, 28.0)	(12.0, 38.0)	(13.0, 89.0)	(14.0, 287.0)	(15.0, 793.0)	(16.0, 1398.0)	(17.0, 2486.0)	(18.0, 4115.0)	(19.0, 6358.0)	(20.0, 9533.0)	(21.0, 14569.0)	(22.0, 20345.0)	(23.0, 28781.0)	(24.0, 38979.0)	(25.0, 51341.0)	(26.0, 66547.0)	(27.0, 84427.0)	(28.0, 104872.0)	(29.0, 128943.0)	(30.0, 157575.0)	(31.0, 190663.0)	(32.0, 231317.0)	(33.0, 284142.0)	(34.0, 358670.0)	(35.0, 481056.0)	(36.0, 757637.0)	(37.0, 1170088.0)			
