Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
PM2601_S14_R2 - polya	(1, 0.0007534971857331309)	(2, 0.001035494635483554)	(3, 0.0017822238824226747)	(4, 0.002941797395796415)	(5, 0.004500679298016755)	(6, 0.0056850685869685325)	(7, 0.006619044140541934)	(8, 0.007803433429493712)	(9, 0.009096109739149651)	(10, 0.011299073816599958)	(12, 0.014997752367526509)	(14, 0.018227187162068358)	(16, 0.022242830846514385)	(18, 0.026529192082720816)	(20, 0.02994248921449994)	(22, 0.03395249294995095)	(24, 0.037912865134245896)	(26, 0.041972500420852994)	(28, 0.04532827007288303)	(30, 0.047871887069631844)	(32, 0.05052604706668283)	(34, 0.052944457195742464)	(36, 0.056008077489831054)	(38, 0.05977105145930071)	(40, 0.06392430989922493)	(42, 0.066640509335221)	(44, 0.06944807594493624)	(46, 0.07144574587896824)	(48, 0.07360471835425747)	(50, 0.07551214910436933)	(52, 0.07729437298679201)	(54, 0.07911494852238074)	(56, 0.08091070828239144)	(58, 0.08258915710330596)	(60, 0.08439845274090467)	(62, 0.08599455830649207)	(64, 0.08789522111780991)	(66, 0.0902143681445574)	(68, 0.09275911313110521)	(70, 0.09491695761659547)	(72, 0.0968074685197223)	(74, 0.09859420436134098)	(76, 0.10015647023295832)	(78, 0.10251171293327385)	(80, 0.10543771847188424)	(82, 0.10773768967204869)	(84, 0.10937101890100315)	(86, 0.1117397974789067)	(88, 0.11386718623982389)	(90, 0.11435109386359563)
PM2601_S14_R2 - polyg	(1, 2.0571059725209953)	(2, 2.477920614875361)	(3, 2.523836567633524)	(4, 2.532657447861717)	(5, 2.542703325011626)	(6, 2.5534914194492786)	(7, 2.5716046796416476)	(8, 2.585939174007361)	(9, 2.6082733720275946)	(10, 2.635109377335644)	(12, 2.667549235965134)	(14, 2.6927090484318663)	(16, 2.7188039644419715)	(18, 2.7455091229333366)	(20, 2.7586614839896964)	(22, 2.769095389630462)	(24, 2.7820571204107907)	(26, 2.7954948628862977)	(28, 2.8022650576599055)	(30, 2.815217764521842)	(32, 2.8295116512547915)	(34, 2.8401091154164124)	(36, 2.8469492455575587)	(38, 2.8580655850267203)	(40, 2.869814726773122)	(42, 2.8771805001606032)	(44, 2.8959976259875493)	(46, 2.901677054625523)	(48, 2.9074061148146524)	(50, 2.913665330209313)	(52, 2.9240563722377164)	(54, 2.9340503618568716)	(56, 2.9410326187126916)	(58, 2.9474621605670013)	(60, 2.9560100672638363)	(62, 2.9647565001652953)	(64, 2.9684303629406443)	(66, 2.9721978488693095)	(68, 2.976915102208735)	(70, 2.983809375860233)	(72, 2.99538367918779)	(74, 3.001545887459736)	(76, 3.004898273142369)	(78, 3.008548448131938)	(80, 3.013580410625285)	(82, 3.0266876520896844)	(84, 3.0324234802176084)	(86, 3.037811887487439)	(88, 3.0414496545892193)	(90, 3.0436954822790323)
PM2616_S22_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 4.199768718736659e-06)	(4, 8.399537437473318e-06)	(5, 8.399537437473318e-06)	(6, 1.2599306156209978e-05)	(7, 1.2599306156209978e-05)	(8, 1.2599306156209978e-05)	(9, 1.2599306156209978e-05)	(10, 1.6799074874946635e-05)	(12, 1.6799074874946635e-05)	(14, 2.7298496671788284e-05)	(16, 3.989780282799826e-05)	(18, 4.619745590610325e-05)	(20, 5.66968777029449e-05)	(22, 6.719629949978654e-05)	(24, 7.559583693725986e-05)	(26, 9.449479617157483e-05)	(28, 0.0001427921364370464)	(30, 0.00019528924542125463)	(32, 0.00025408600748356785)	(34, 0.0003128827695458811)	(36, 0.0004199768718736659)	(38, 0.000592167389341869)	(40, 0.0009113498119658551)	(42, 0.0013922233302612027)	(44, 0.00188569615471276)	(46, 0.002509361809445154)	(48, 0.0036558986696602616)	(50, 0.005755783029028591)	(52, 0.008695621132144253)	(54, 0.011612360507306862)	(56, 0.014802084849187356)	(58, 0.01923284084745453)	(60, 0.025110417169326486)	(62, 0.03172925267005546)	(64, 0.03865887105597095)	(66, 0.04649143971641482)	(68, 0.05583802499996325)	(70, 0.0655415906246043)	(72, 0.07541524688235418)	(74, 0.08589576971996152)	(76, 0.09654848307503706)	(78, 0.10564098235110192)	(80, 0.11310607124865635)	(82, 0.11892275092410662)	(84, 0.12548488954713266)	(86, 0.12860111793643525)	(88, 0.12948306936736995)	(90, 0.12948306936736995)
PM2616_S22_R1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.14400586959676132)	(4, 0.16181708873292347)	(5, 0.1673523839042184)	(6, 0.16835192885927772)	(7, 0.16921288144661872)	(8, 0.1701956273268031)	(9, 0.17133376464958075)	(10, 0.17303257109630973)	(12, 0.17437649708630545)	(14, 0.17549363556548941)	(16, 0.17653097843901738)	(18, 0.17728693680838997)	(20, 0.17805549448391877)	(22, 0.17882615204380695)	(24, 0.17935742278672714)	(26, 0.17999158786325636)	(28, 0.18059425467439508)	(30, 0.18136281234992388)	(32, 0.18208937233826533)	(34, 0.18259964423759184)	(36, 0.18314981393974633)	(38, 0.1835634911585419)	(40, 0.183928871037072)	(42, 0.1843698467525393)	(44, 0.18648443030242323)	(46, 0.21034541627792558)	(48, 0.21200642480618592)	(50, 0.21343224628619703)	(52, 0.214549384765381)	(54, 0.2157673176938146)	(56, 0.21681935975785815)	(58, 0.2177412089916208)	(60, 0.2191481315123976)	(62, 0.2203093675631283)	(64, 0.2273838779698402)	(66, 0.26683440542929304)	(68, 0.2835242863175525)	(70, 0.31081648333626266)	(72, 0.332619582639584)	(74, 0.34085742898138605)	(76, 0.34454482591643676)	(78, 0.3465859135137428)	(80, 0.3484380115187057)	(82, 0.34991842999206035)	(84, 0.35145344545875856)	(86, 0.35245089052945855)	(88, 0.3533853390693774)	(90, 0.35404050298950035)
PM2616_S22_R2 - illumina_universal_adapter	(1, 7.13960682185232e-05)	(2, 0.0001427921364370464)	(3, 0.0002561858918429362)	(4, 0.00048717317137345246)	(5, 0.0005459699334357657)	(6, 0.0006845623011540754)	(7, 0.0007307597570601787)	(8, 0.0007937562878412286)	(9, 0.000961747036590695)	(10, 0.002265775223758428)	(12, 0.002479963428413997)	(14, 0.0028201446946316665)	(16, 0.003122528042380706)	(18, 0.003479508383473322)	(20, 0.0038931856022688827)	(22, 0.0045000521821263306)	(24, 0.005134217258655566)	(26, 0.006131662329355522)	(28, 0.0073936928293358885)	(30, 0.009207992915830125)	(32, 0.011572462704478865)	(34, 0.015564342871638059)	(36, 0.020782555504668357)	(38, 0.029079198608532628)	(40, 0.043679694559220626)	(42, 0.06179749681185057)	(44, 0.08211177810437978)	(46, 0.1103573226222432)	(48, 0.15713014684281337)	(50, 0.2362411901976558)	(52, 0.33894443433000143)	(54, 0.4426766217984376)	(56, 0.5566583448249505)	(58, 0.7010211947628044)	(60, 0.8903782668688436)	(62, 1.1108073278404558)	(64, 1.333796147846138)	(66, 1.5731031692084718)	(68, 1.8374177134065226)	(70, 2.115583094838967)	(72, 2.3653601396171116)	(74, 2.684391370567223)	(76, 2.948346834539822)	(78, 3.0552792457719353)	(80, 3.094379092543374)	(82, 3.1093722668692636)	(84, 3.1181707823350164)	(86, 3.1238152714929988)	(88, 3.12474132049548)	(90, 3.12474132049548)
PM2616_S22_R2 - polya	(1, 0.006807825093072125)	(2, 0.007765372360944083)	(3, 0.01308647932758343)	(4, 0.02182199826255568)	(5, 0.03062051372830898)	(6, 0.03845728215747159)	(7, 0.04395057964157914)	(8, 0.05284988955658212)	(9, 0.06294613355642505)	(10, 0.08855632320328119)	(12, 0.14957686280216548)	(14, 0.18788295328576254)	(16, 0.2293934673017557)	(18, 0.28332269741905314)	(20, 0.3158562057987466)	(22, 0.35046859969421484)	(24, 0.3876029547052844)	(26, 0.4231203987596403)	(28, 0.4471787738649232)	(30, 0.4685912946774021)	(32, 0.49222129337337395)	(34, 0.5119392075078426)	(36, 0.5372869116097776)	(38, 0.5629222998689463)	(40, 0.5848051947779236)	(42, 0.6032652781811305)	(44, 0.6236824538072688)	(46, 0.6449122846804827)	(48, 0.6729478407624092)	(50, 0.6977138768967992)	(52, 0.7158610775304604)	(54, 0.7335106055709513)	(56, 0.7547131379474932)	(58, 0.7756342858198799)	(60, 0.7966163303386882)	(62, 0.8137618861329307)	(64, 0.8307415510627829)	(66, 0.8509340390624688)	(68, 0.8717627920230433)	(70, 0.8848639705411423)	(72, 0.8960227560268257)	(74, 0.9096825037845166)	(76, 0.9210827759715272)	(78, 0.9303033681935136)	(80, 0.9400825296550919)	(82, 0.9495278095035307)	(84, 0.9601154264434657)	(86, 0.9745101337269356)	(88, 0.9826597849256442)	(90, 0.9840940059430927)
PM2616_S22_R2 - polyg	(1, 13.678881903973549)	(2, 17.03568984456026)	(3, 17.41146415066922)	(4, 17.46459542472996)	(5, 17.487114584599826)	(6, 17.51869264559601)	(7, 17.566540610608573)	(8, 17.62632431831979)	(9, 17.65717581932763)	(10, 17.714435466038886)	(12, 17.77266315943981)	(14, 17.812348873947514)	(16, 17.83056747064939)	(18, 17.844758489150003)	(20, 17.85623225728959)	(22, 17.86564393898828)	(24, 17.875240410510592)	(26, 17.881506465438946)	(28, 17.885246359482984)	(30, 17.888366787641004)	(32, 17.892163378562742)	(34, 17.89631904970993)	(36, 17.900888398075917)	(38, 17.9050755674885)	(40, 17.908273691367818)	(42, 17.911394119525838)	(44, 17.914222663757904)	(46, 17.9159802669667)	(48, 17.918021354564004)	(50, 17.92283218963132)	(52, 17.92662248089998)	(54, 17.929056246872484)	(56, 17.930752953434855)	(58, 17.932323666935662)	(60, 17.93388808078339)	(62, 17.935887170693512)	(64, 17.937678372052048)	(66, 17.939492672138545)	(68, 17.94133847049043)	(70, 17.94350135138058)	(72, 17.945935117353088)	(74, 17.94851797511511)	(76, 17.951065134843024)	(78, 17.95383278242867)	(80, 17.957108602029287)	(82, 17.960672105787133)	(84, 17.96438260145014)	(86, 17.967849510527458)	(88, 17.971305920182978)	(90, 17.974002171700405)
PM2622_S32_R1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 7.743702047125073e-06)	(7, 7.743702047125073e-06)	(8, 7.743702047125073e-06)	(9, 7.743702047125073e-06)	(10, 7.743702047125073e-06)	(12, 9.034319054979253e-06)	(14, 1.0324936062833431e-05)	(16, 1.0324936062833431e-05)	(18, 1.0324936062833431e-05)	(20, 1.0324936062833431e-05)	(22, 1.9359255117812684e-05)	(24, 3.226542519635447e-05)	(26, 5.162468031416715e-05)	(28, 0.00012648046676970952)	(30, 0.0002555421675551274)	(32, 0.00041557867652904556)	(34, 0.0005743245684951096)	(36, 0.0008827820333722583)	(38, 0.0013977382195060756)	(40, 0.0021759802752421456)	(42, 0.0032381580727061346)	(44, 0.004191924041510373)	(46, 0.005114715202126111)	(48, 0.006459538124310165)	(50, 0.008533559655931831)	(52, 0.01101670677904327)	(54, 0.01361084696483017)	(56, 0.016224346405734884)	(58, 0.019493479286629516)	(60, 0.023494392010977472)	(62, 0.028331624556414935)	(64, 0.033216609931143004)	(66, 0.038322290814214136)	(68, 0.043482177611615144)	(70, 0.05008368360678926)	(72, 0.056681317750939826)	(74, 0.0642081961407454)	(76, 0.07249524794817708)	(78, 0.07916386602775963)	(80, 0.08508134500877104)	(82, 0.0901495979986144)	(84, 0.09589155306655764)	(86, 0.09926135407406489)	(88, 0.10026803534019116)	(90, 0.10026803534019116)
PM2622_S32_R2 - illumina_universal_adapter	(1, 2.3231106141375218e-05)	(2, 3.355604220420865e-05)	(3, 6.71120844084173e-05)	(4, 0.00012131799873829281)	(5, 0.0001290617007854179)	(6, 0.00017294267905245997)	(7, 0.00019359255117812682)	(8, 0.00023489229542946054)	(9, 0.0002555421675551274)	(10, 0.00032007301794783634)	(12, 0.00037040708125414936)	(14, 0.00044139101668612917)	(16, 0.0005536746963694427)	(18, 0.0007704983536889448)	(20, 0.0009989375640791344)	(22, 0.0012531891146264078)	(24, 0.0016674771741475992)	(26, 0.00242119750673444)	(28, 0.0037892515350598692)	(30, 0.006194961637700058)	(32, 0.010099078086458949)	(34, 0.014022553790335655)	(36, 0.01951025730773162)	(38, 0.02882205901939952)	(40, 0.043492502547677975)	(42, 0.06131076095811277)	(44, 0.07843337680131415)	(46, 0.09818239825549879)	(48, 0.12474200566012995)	(50, 0.16533449179115958)	(52, 0.21124561061155628)	(54, 0.25751681157714434)	(56, 0.3019966361358307)	(58, 0.35475705941690955)	(60, 0.419752531932446)	(62, 0.4942792110509856)	(64, 0.5691066039323551)	(66, 0.6524520690655623)	(68, 0.7355949073285364)	(70, 0.8415106826950973)	(72, 0.9465849757725375)	(74, 1.112593169641797)	(76, 1.2369028186042959)	(78, 1.287347874973284)	(80, 1.3001778986483625)	(82, 1.3046395616445143)	(84, 1.3077189738252546)	(86, 1.309327082617041)	(88, 1.3097129771023892)	(90, 1.3097129771023892)
PM2622_S32_R2 - polyg	(1, 0.6675974596527311)	(2, 0.742546170532839)	(3, 0.75391908760605)	(4, 0.7558214570756271)	(5, 0.7575689525042616)	(6, 0.7594868093779329)	(7, 0.7619854439051387)	(8, 0.7652920046792611)	(9, 0.7678964698011107)	(10, 0.772266498989705)	(12, 0.7767539743260139)	(14, 0.7786124628173241)	(16, 0.7797688556563613)	(18, 0.7807665026034326)	(20, 0.7814698888727132)	(22, 0.7822403872264021)	(24, 0.7826417691158447)	(26, 0.7829618421337925)	(28, 0.7832199655353634)	(30, 0.7835064825111071)	(32, 0.783746537274568)	(34, 0.7840588665904686)	(36, 0.784338930481173)	(38, 0.7845996351167596)	(40, 0.7847932276679377)	(42, 0.7849816577510844)	(44, 0.7851946095573803)	(46, 0.7853585179173779)	(48, 0.7855366230644617)	(50, 0.7858644397844566)	(52, 0.7861290162710668)	(54, 0.7862877621630329)	(56, 0.7864090801617711)	(58, 0.7865136201394073)	(60, 0.7866194507340514)	(62, 0.7867652904559388)	(64, 0.7869253269649128)	(66, 0.7870414824956196)	(68, 0.7871679629623893)	(70, 0.7873318713223869)	(72, 0.7875112670864786)	(74, 0.7876635598934054)	(76, 0.7878248870193871)	(78, 0.7880055734004867)	(80, 0.7881901316326099)	(82, 0.7883759804817408)	(84, 0.788524401437644)	(86, 0.7886921816486652)	(88, 0.788878030497796)	(90, 0.7890238702196837)
