Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
PM2528_R1_unpaired	(50, 13390.0)	(51, 13960.0)	(52, 13288.0)	(53, 12424.0)	(54, 12961.0)	(55, 11157.0)	(56, 12321.0)	(57, 10679.0)	(58, 12765.0)	(59, 11186.0)	(60, 11018.0)	(61, 11691.0)	(62, 12449.0)	(63, 11814.0)	(64, 11766.0)	(65, 10549.0)	(66, 12602.0)	(67, 11468.0)	(68, 11118.0)	(69, 10648.0)	(70, 10777.0)	(71, 10168.0)	(72, 11028.0)	(73, 17440.0)	(74, 35929.0)	(75, 105567.0)	(76, 226368.0)
PM2528_R2_paired	(50, 16395.0)	(51, 17916.0)	(52, 17292.0)	(53, 19063.0)	(54, 16328.0)	(55, 19415.0)	(56, 18049.0)	(57, 19748.0)	(58, 18049.0)	(59, 22467.0)	(60, 20872.0)	(61, 24579.0)	(62, 18918.0)	(63, 25781.0)	(64, 21957.0)	(65, 24267.0)	(66, 22793.0)	(67, 24449.0)	(68, 24328.0)	(69, 24363.0)	(70, 24264.0)	(71, 33835.0)	(72, 37113.0)	(73, 57481.0)	(74, 159557.0)	(75, 613273.0)	(76, 1394555.0)
PM2528_R2_unpaired	(50, 5867.0)	(51, 6258.0)	(52, 6068.0)	(53, 6264.0)	(54, 5072.0)	(55, 5990.0)	(56, 5120.0)	(57, 5437.0)	(58, 4783.0)	(59, 5792.0)	(60, 5079.0)	(61, 5454.0)	(62, 4409.0)	(63, 5475.0)	(64, 4511.0)	(65, 4682.0)	(66, 4285.0)	(67, 4487.0)	(68, 4278.0)	(69, 4040.0)	(70, 3897.0)	(71, 4585.0)	(72, 4601.0)	(73, 5519.0)	(74, 9513.0)	(75, 30551.0)	(76, 53743.0)
PM2539_R1_paired	(50, 234660.0)	(52, 236300.0)	(54, 238786.0)	(56, 276065.0)	(58, 327823.0)	(60, 371211.0)	(62, 376823.0)	(64, 387574.0)	(66, 413623.0)	(68, 455326.0)	(70, 467588.0)	(72, 457083.0)	(74, 621328.0)	(76, 646368.0)	(78, 649121.0)	(80, 618152.0)	(82, 620049.0)	(84, 610861.0)	(86, 599001.0)	(88, 621444.0)	(90, 591240.0)	(92, 537520.0)	(94, 467558.0)	(96, 513000.0)	(98, 1214115.0)	(100, 8663571.0)	
PM2539_R1_unpaired	(50, 116890.0)	(52, 113626.0)	(54, 115306.0)	(56, 128010.0)	(58, 143561.0)	(60, 161367.0)	(62, 167611.0)	(64, 169432.0)	(66, 166512.0)	(68, 183992.0)	(70, 185061.0)	(72, 249794.0)	(74, 208862.0)	(76, 166441.0)	(78, 116723.0)	(80, 121067.0)	(82, 125644.0)	(84, 107940.0)	(86, 120767.0)	(88, 100165.0)	(90, 101553.0)	(92, 40069.0)	(94, 35487.0)	(96, 45854.0)	(98, 190757.0)	(100, 1617366.0)	
PM2539_R2_paired	(50, 191686.0)	(52, 195471.0)	(54, 193830.0)	(56, 227876.0)	(58, 286994.0)	(60, 326545.0)	(62, 344707.0)	(64, 356260.0)	(66, 389643.0)	(68, 426352.0)	(70, 434124.0)	(72, 404427.0)	(74, 591274.0)	(76, 612054.0)	(78, 627710.0)	(80, 592914.0)	(82, 598456.0)	(84, 597251.0)	(86, 585934.0)	(88, 610461.0)	(90, 590087.0)	(92, 549584.0)	(94, 479603.0)	(96, 510907.0)	(98, 1307699.0)	(100, 9184341.0)	
PM2539_R2_unpaired	(50, 39265.0)	(52, 35728.0)	(54, 34848.0)	(56, 37474.0)	(58, 40841.0)	(60, 44341.0)	(62, 46131.0)	(64, 48555.0)	(66, 56066.0)	(68, 54510.0)	(70, 53465.0)	(72, 48058.0)	(74, 62435.0)	(76, 68317.0)	(78, 68938.0)	(80, 62209.0)	(82, 60378.0)	(84, 62800.0)	(86, 61163.0)	(88, 62603.0)	(90, 60389.0)	(92, 46233.0)	(94, 41674.0)	(96, 44636.0)	(98, 137120.0)	(100, 910409.0)	
PM2577_R1_paired	(50, 225490.0)	(52, 229973.0)	(54, 222584.0)	(56, 255075.0)	(58, 291478.0)	(60, 292960.0)	(62, 315000.0)	(64, 340245.0)	(66, 360614.0)	(68, 434066.0)	(70, 509786.0)	(72, 614904.0)	(74, 760633.0)	(76, 830872.0)	(78, 954246.0)	(80, 1034016.0)	(82, 1247469.0)	(84, 1297540.0)	(86, 1386939.0)	(88, 1590448.0)	(90, 1606396.0)	(92, 1762697.0)	(94, 1774237.0)	(96, 2140080.0)	(98, 6752737.0)	(100, 53567357.0)	
PM2577_R1_unpaired	(50, 116732.0)	(52, 112820.0)	(54, 107344.0)	(56, 110923.0)	(58, 118754.0)	(60, 123805.0)	(62, 128805.0)	(64, 134806.0)	(66, 136919.0)	(68, 147642.0)	(70, 147421.0)	(72, 213944.0)	(74, 169070.0)	(76, 147456.0)	(78, 112581.0)	(80, 119369.0)	(82, 128680.0)	(84, 126348.0)	(86, 122812.0)	(88, 129038.0)	(90, 131773.0)	(92, 124115.0)	(94, 122362.0)	(96, 153654.0)	(98, 521516.0)	(100, 3178290.0)	
PM2577_R2_paired	(50, 195292.0)	(52, 208009.0)	(54, 196146.0)	(56, 207830.0)	(58, 248731.0)	(60, 266165.0)	(62, 297023.0)	(64, 317485.0)	(66, 345114.0)	(68, 396578.0)	(70, 469100.0)	(72, 528984.0)	(74, 728641.0)	(76, 790840.0)	(78, 916320.0)	(80, 981110.0)	(82, 1171229.0)	(84, 1240453.0)	(86, 1357214.0)	(88, 1570122.0)	(90, 1673913.0)	(92, 1769988.0)	(94, 1821250.0)	(96, 2142741.0)	(98, 7537884.0)	(100, 53419680.0)	
