Sample	0	1	2	3	4	5	6	7	8	9	10	11
PM2616_R1_paired	(30.0, 3.0)	(31.0, 52.0)	(32.0, 589.0)	(33.0, 4069.0)	(34.0, 20735.0)	(35.0, 78695.0)	(36.0, 270476.0)	(37.0, 661744.0)	(38.0, 1576049.0)	(39.0, 6947191.0)	(40.0, 5903578.0)	
PM2616_R1_unpaired	(30.0, 6.0)	(31.0, 123.0)	(32.0, 1255.0)	(33.0, 7199.0)	(34.0, 29615.0)	(35.0, 85013.0)	(36.0, 209022.0)	(37.0, 371573.0)	(38.0, 652647.0)	(39.0, 1892711.0)	(40.0, 1347239.0)	
PM2616_R2_paired	(30.0, 1.0)	(31.0, 40.0)	(32.0, 360.0)	(33.0, 2081.0)	(34.0, 10455.0)	(35.0, 40081.0)	(36.0, 147776.0)	(37.0, 439986.0)	(38.0, 1464439.0)	(39.0, 6092457.0)	(40.0, 7265505.0)	
PM2616_R2_unpaired	(30.0, 8.0)	(31.0, 70.0)	(32.0, 601.0)	(33.0, 3442.0)	(34.0, 14607.0)	(35.0, 45568.0)	(36.0, 120780.0)	(37.0, 224069.0)	(38.0, 379526.0)	(39.0, 577971.0)	(40.0, 258514.0)	
PM2622_R1_paired	(30.0, 3.0)	(31.0, 97.0)	(32.0, 989.0)	(33.0, 7201.0)	(34.0, 36183.0)	(35.0, 138980.0)	(36.0, 470792.0)	(37.0, 1140798.0)	(38.0, 2784210.0)	(39.0, 13758924.0)	(40.0, 12839149.0)	
PM2622_R1_unpaired	(30.0, 9.0)	(31.0, 208.0)	(32.0, 1991.0)	(33.0, 11037.0)	(34.0, 41919.0)	(35.0, 109648.0)	(36.0, 233480.0)	(37.0, 340932.0)	(38.0, 460206.0)	(39.0, 688901.0)	(40.0, 287538.0)	
PM2622_R2_paired	(31.0, 54.0)	(32.0, 508.0)	(33.0, 3436.0)	(34.0, 17768.0)	(35.0, 71364.0)	(36.0, 263385.0)	(37.0, 700339.0)	(38.0, 1971629.0)	(39.0, 11803740.0)	(40.0, 16345103.0)		
PM2622_R2_unpaired	(30.0, 14.0)	(31.0, 141.0)	(32.0, 1379.0)	(33.0, 7713.0)	(34.0, 31532.0)	(35.0, 95560.0)	(36.0, 237423.0)	(37.0, 388828.0)	(38.0, 555792.0)	(39.0, 759776.0)	(40.0, 239592.0)	
PM3050_R1_paired	(29.0, 1.0)	(30.0, 1.0)	(31.0, 95.0)	(32.0, 2278.0)	(33.0, 22472.0)	(34.0, 119752.0)	(35.0, 396013.0)	(36.0, 993245.0)	(37.0, 2496413.0)			
PM3050_R1_unpaired	(30.0, 20.0)	(31.0, 831.0)	(32.0, 11503.0)	(33.0, 63996.0)	(34.0, 175730.0)	(35.0, 253070.0)	(36.0, 197730.0)	(37.0, 76556.0)				
PM3050_R2_paired	(30.0, 12.0)	(31.0, 365.0)	(32.0, 6149.0)	(33.0, 47531.0)	(34.0, 204928.0)	(35.0, 553460.0)	(36.0, 1164937.0)	(37.0, 2052888.0)				
PM3050_R2_unpaired	(30.0, 24.0)	(31.0, 748.0)	(32.0, 8231.0)	(33.0, 40226.0)	(34.0, 93020.0)	(35.0, 110317.0)	(36.0, 69688.0)	(37.0, 24626.0)				
PM3051_R1_paired	(31.0, 67.0)	(32.0, 1326.0)	(33.0, 13781.0)	(34.0, 76646.0)	(35.0, 267523.0)	(36.0, 713323.0)	(37.0, 1777229.0)					
PM3051_R1_unpaired	(30.0, 20.0)	(31.0, 698.0)	(32.0, 9422.0)	(33.0, 53490.0)	(34.0, 148669.0)	(35.0, 223302.0)	(36.0, 184379.0)	(37.0, 63919.0)				
PM3051_R2_paired	(30.0, 6.0)	(31.0, 338.0)	(32.0, 5588.0)	(33.0, 42057.0)	(34.0, 173611.0)	(35.0, 448037.0)	(36.0, 891662.0)	(37.0, 1288596.0)				
PM3051_R2_unpaired	(29.0, 1.0)	(30.0, 15.0)	(31.0, 569.0)	(32.0, 6270.0)	(33.0, 28279.0)	(34.0, 61720.0)	(35.0, 67473.0)	(36.0, 38738.0)	(37.0, 10618.0)			
PM3153_R1_paired	(30.0, 1.0)	(31.0, 61.0)	(32.0, 1473.0)	(33.0, 14881.0)	(34.0, 85481.0)	(35.0, 301763.0)	(36.0, 798308.0)	(37.0, 1964129.0)				
PM3153_R1_unpaired	(30.0, 26.0)	(31.0, 745.0)	(32.0, 10586.0)	(33.0, 60364.0)	(34.0, 167557.0)	(35.0, 250343.0)	(36.0, 199676.0)	(37.0, 64061.0)				
PM3153_R2_paired	(30.0, 8.0)	(31.0, 434.0)	(32.0, 6417.0)	(33.0, 47744.0)	(34.0, 194645.0)	(35.0, 492368.0)	(36.0, 970462.0)	(37.0, 1454019.0)				
PM3153_R2_unpaired	(30.0, 28.0)	(31.0, 685.0)	(32.0, 6931.0)	(33.0, 32338.0)	(34.0, 69321.0)	(35.0, 75676.0)	(36.0, 42572.0)	(37.0, 11456.0)				
PM3183_R1_paired	(31.0, 59.0)	(32.0, 1360.0)	(33.0, 14529.0)	(34.0, 78079.0)	(35.0, 264634.0)	(36.0, 671109.0)	(37.0, 1548569.0)					
PM3183_R1_unpaired	(29.0, 1.0)	(30.0, 22.0)	(31.0, 653.0)	(32.0, 8579.0)	(33.0, 49106.0)	(34.0, 134015.0)	(35.0, 193231.0)	(36.0, 151219.0)	(37.0, 51643.0)			
PM3183_R2_paired	(30.0, 5.0)	(31.0, 303.0)	(32.0, 4951.0)	(33.0, 36926.0)	(34.0, 152468.0)	(35.0, 395104.0)	(36.0, 782447.0)	(37.0, 1206135.0)				
PM3183_R2_unpaired	(30.0, 20.0)	(31.0, 595.0)	(32.0, 6071.0)	(33.0, 28032.0)	(34.0, 62470.0)	(35.0, 70642.0)	(36.0, 42002.0)	(37.0, 12206.0)				
Undetermined_R1_paired	(31.0, 36.0)	(32.0, 485.0)	(33.0, 5206.0)	(34.0, 29000.0)	(35.0, 104761.0)	(36.0, 292812.0)	(37.0, 634202.0)					
Undetermined_R1_unpaired	(30.0, 25.0)	(31.0, 442.0)	(32.0, 4735.0)	(33.0, 25149.0)	(34.0, 67774.0)	(35.0, 100585.0)	(36.0, 87816.0)	(37.0, 43687.0)				
Undetermined_R2_paired	(30.0, 4.0)	(31.0, 166.0)	(32.0, 2400.0)	(33.0, 17433.0)	(34.0, 69078.0)	(35.0, 174998.0)	(36.0, 350383.0)	(37.0, 452040.0)				
Undetermined_R2_unpaired	(26.0, 1.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 4.0)	(30.0, 22.0)	(31.0, 259.0)	(32.0, 2565.0)	(33.0, 11145.0)	(34.0, 23032.0)	(35.0, 24889.0)	(36.0, 14241.0)	(37.0, 4509.0)
