Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PM2539_R1_unpaired	(1.0, 15.310728466679436)	(2.0, 2.2780834875017812)	(3.0, 0.8753997439754566)	(4.0, 0.5863528413398681)	(5.0, 0.44914444603453363)	(6.0, 0.38173015999357796)	(7.0, 0.32526622627325474)	(8.0, 0.28510624624202574)	(9.0, 0.27251432637011447)	('>10', 4.730938905985993)	('>50', 2.913063174436777)	('>100', 10.505271399705798)	('>500', 7.399799502236664)	('>1k', 23.589322563010906)	('>5k', 11.18008623804401)	('>10k+', 18.9171922721698)
PM2539_R2_paired	(1.0, 13.381262436336)	(2.0, 2.2121221012969747)	(3.0, 0.7121436387050796)	(4.0, 0.40072236079813917)	(5.0, 0.28971865289395243)	(6.0, 0.2318216535860436)	(7.0, 0.18597226929963326)	(8.0, 0.14770235554472624)	(9.0, 0.14201064131225707)	('>10', 2.150617216294077)	('>50', 1.1441969398601695)	('>100', 5.0541336794723914)	('>500', 4.110923498067854)	('>1k', 18.044962255268928)	('>5k', 10.556422660622147)	('>10k+', 41.235267640641645)
PM2539_R2_unpaired	(1.0, 15.544151206103002)	(2.0, 1.4414768582078157)	(3.0, 0.7289083138810551)	(4.0, 0.5249114395407604)	(5.0, 0.4254385044232191)	(6.0, 0.36717078291082006)	(7.0, 0.2908904896103296)	(8.0, 0.2803793005546117)	(9.0, 0.24648846135180047)	('>10', 5.533802666455907)	('>50', 3.620402464325898)	('>100', 15.55670692101624)	('>500', 10.16669806532031)	('>1k', 21.827055316489428)	('>5k', 8.412636744275794)	('>10k+', 15.032882465533012)
PM2577_R1_paired	(1.0, 8.945865331702976)	(2.0, 1.3666724768604712)	(3.0, 0.6149623094399205)	(4.0, 0.3787388372897135)	(5.0, 0.2784532263990353)	(6.0, 0.22032629970475986)	(7.0, 0.18283908914544922)	(8.0, 0.1590464004105885)	(9.0, 0.1345331903767528)	('>10', 2.0599469143437372)	('>50', 0.9493409294153262)	('>100', 3.2288147210015703)	('>500', 2.3056256275632316)	('>1k', 10.193943928240556)	('>5k', 6.731758917282848)	('>10k+', 62.24913180082308)
PM2577_R1_unpaired	(1.0, 11.511663904255935)	(2.0, 1.465928813402773)	(3.0, 0.7922978287875073)	(4.0, 0.5623562892160154)	(5.0, 0.45163918894051186)	(6.0, 0.38178354176445933)	(7.0, 0.33457218381968623)	(8.0, 0.30769406750101463)	(9.0, 0.2738612529660094)	('>10', 5.189201745199097)	('>50', 3.311786330499645)	('>100', 12.812193898223608)	('>500', 9.067008903827828)	('>1k', 27.19098330426082)	('>5k', 11.199529670752897)	('>10k+', 15.147499076582186)
PM2577_R2_paired	(1.0, 9.286625920324042)	(2.0, 1.3525594676162735)	(3.0, 0.5505396875221091)	(4.0, 0.34217232539494713)	(5.0, 0.2584358777053607)	(6.0, 0.2034530482454677)	(7.0, 0.15247994431763207)	(8.0, 0.14258081256664734)	(9.0, 0.11536503641852976)	('>10', 1.515281873306405)	('>50', 0.6602437888071888)	('>100', 2.7922062798341685)	('>500', 2.550641527000526)	('>1k', 13.48219482517275)	('>5k', 9.926512930400776)	('>10k+', 56.668706655367174)
PM2577_R2_unpaired	(1.0, 13.659288417609355)	(2.0, 1.4012261383965083)	(3.0, 0.7219909855640058)	(4.0, 0.5108776400532106)	(5.0, 0.39643403262601773)	(6.0, 0.32379343475225925)	(7.0, 0.28941852708869487)	(8.0, 0.2436696289899701)	(9.0, 0.22870992425877146)	('>10', 4.633150663186376)	('>50', 3.4412038357124306)	('>100', 16.120111180584328)	('>500', 10.452888301421996)	('>1k', 24.938092616730355)	('>5k', 9.939310317492932)	('>10k+', 12.699834355532772)
PM2601_R1_paired	(1.0, 3.184390410750501)	(2.0, 0.5498328564770726)	(3.0, 0.31405958651243643)	(4.0, 0.23795365730912235)	(5.0, 0.1970422666925007)	(6.0, 0.16236239811255343)	(7.0, 0.14662398384677827)	(8.0, 0.1323268263595882)	(9.0, 0.12062096953542861)	('>10', 2.0344306190569137)	('>50', 1.073955685834114)	('>100', 3.941903169233664)	('>500', 3.104213868109682)	('>1k', 15.313838881394787)	('>5k', 10.39309884656766)	('>10k+', 59.09334597420721)
PM2601_R1_unpaired	(1.0, 5.499338814584908)	(2.0, 1.358052714125189)	(3.0, 0.8414338354155954)	(4.0, 0.6423872831079096)	(5.0, 0.513792905078607)	(6.0, 0.419443080625725)	(7.0, 0.36202475583376487)	(8.0, 0.33318478410327895)	(9.0, 0.2994707441690376)	('>10', 5.773982026778359)	('>50', 3.634319397444901)	('>100', 17.367874170508316)	('>500', 12.164381654712761)	('>1k', 35.0075496015142)	('>5k', 8.712249087735747)	('>10k+', 7.070515144261701)
PM2601_R2_paired	(1.0, 3.2435680116497694)	(2.0, 0.5658210532962485)	(3.0, 0.3173800210044045)	(4.0, 0.23413300052933747)	(5.0, 0.18276623435179168)	(6.0, 0.14815193851599798)	(7.0, 0.1276694601600054)	(8.0, 0.10827081418473096)	(9.0, 0.09391016641646463)	('>10', 1.2335136112421308)	('>50', 0.5687705584639114)	('>100', 3.111692613894358)	('>500', 3.773875436849921)	('>1k', 21.89353450973926)	('>5k', 15.749748752147976)	('>10k+', 48.64719381755368)
PM2601_R2_unpaired	(1.0, 6.3341407627240445)	(2.0, 1.3313521596803746)	(3.0, 0.7825818956986953)	(4.0, 0.572770294542597)	(5.0, 0.420492253843917)	(6.0, 0.3486587500396658)	(7.0, 0.30774344918240093)	(8.0, 0.2652604182387064)	(9.0, 0.22699164416979012)	('>10', 4.9157656305511)	('>50', 4.340244616988872)	('>100', 23.379842460973137)	('>500', 15.009938407572074)	('>1k', 31.236078502288734)	('>5k', 4.819551616928026)	('>10k+', 5.708587136577871)
PM2616_R1_paired	(1.0, 11.653609372772648)	(2.0, 1.5861280960771142)	(3.0, 0.535948871711645)	(4.0, 0.3282417475830337)	(5.0, 0.2683651979370023)	(6.0, 0.2101136400680899)	(7.0, 0.17906687754195807)	(8.0, 0.15944843195563355)	(9.0, 0.1421672305760691)	('>10', 2.4402894406352376)	('>50', 1.3108516481054453)	('>100', 4.6253084739371895)	('>500', 3.274288091724554)	('>1k', 12.443465169360902)	('>5k', 8.26051559914817)	('>10k+', 52.582192110865314)
PM2616_R1_unpaired	(1.0, 13.437853147649012)	(2.0, 1.67641179660625)	(3.0, 0.6970682456984176)	(4.0, 0.46563943629325716)	(5.0, 0.3696866980314873)	(6.0, 0.3157251387445733)	(7.0, 0.2681735009133301)	(8.0, 0.24873471649065043)	(9.0, 0.2262480765423818)	('>10', 4.047132306248318)	('>50', 2.421040790760889)	('>100', 8.30483226615561)	('>500', 5.163817187928514)	('>1k', 20.29973437197769)	('>5k', 11.097145939068414)	('>10k+', 30.96075638089118)
PM2616_R2_paired	(1.0, 10.94073423735535)	(2.0, 1.4213925226692297)	(3.0, 0.4595551181487143)	(4.0, 0.27058638789916956)	(5.0, 0.20422245781623835)	(6.0, 0.1690319828857333)	(7.0, 0.1391786469382872)	(8.0, 0.12924042766911453)	(9.0, 0.11300314128301489)	('>10', 1.7989526631198656)	('>50', 1.0013218167874154)	('>100', 4.278491441984973)	('>500', 3.4312986577160496)	('>1k', 15.137130287303172)	('>5k', 9.856830857933796)	('>10k+', 50.64902935248989)
PM2616_R2_unpaired	(1.0, 12.787787148016116)	(2.0, 1.2651478275485482)	(3.0, 0.6677364100877143)	(4.0, 0.49320175904006686)	(5.0, 0.4121815858086465)	(6.0, 0.3545131123264969)	(7.0, 0.2980692184162423)	(8.0, 0.2694906982687738)	(9.0, 0.23193419200932627)	('>10', 4.622584657246064)	('>50', 3.193680251444951)	('>100', 14.975403554613584)	('>500', 9.009305422069392)	('>1k', 25.07121045398502)	('>5k', 8.087395357435122)	('>10k+', 18.260358351683934)
PM2622_R1_paired	(1.0, 5.406248919964998)	(2.0, 0.785591998331889)	(3.0, 0.3066580720550003)	(4.0, 0.21083388952274892)	(5.0, 0.1638967479165962)	(6.0, 0.134922626495124)	(7.0, 0.117863299020824)	(8.0, 0.10568816178890392)	(9.0, 0.0964664231472176)	('>10', 1.656725133848818)	('>50', 0.9957234741497969)	('>100', 3.5964236706501307)	('>500', 2.7269014243966723)	('>1k', 11.604709266754778)	('>5k', 8.23199897915368)	('>10k+', 63.85934791280283)
PM2622_R1_unpaired	(1.0, 8.556286569283522)	(2.0, 1.3815527879104057)	(3.0, 0.8000264226329004)	(4.0, 0.6427850486252621)	(5.0, 0.5227789059930965)	(6.0, 0.4747390989797578)	(7.0, 0.38946700599666423)	(8.0, 0.36811870123016355)	(9.0, 0.3214433270737481)	('>10', 6.311178279964438)	('>50', 4.076101004207758)	('>100', 15.551190289859498)	('>500', 10.473182528394608)	('>1k', 30.215230274775095)	('>5k', 9.530483985128718)	('>10k+', 10.38543576994436)
PM2622_R2_paired	(1.0, 5.449495887149455)	(2.0, 0.7779063498366534)	(3.0, 0.2898168968059207)	(4.0, 0.18544402961734066)	(5.0, 0.14124494837682214)	(6.0, 0.11520531348825018)	(7.0, 0.09192653331136406)	(8.0, 0.08278620766742303)	(9.0, 0.07297199773588674)	('>10', 1.165016985536976)	('>50', 0.6420050371566476)	('>100', 2.947933942585082)	('>500', 2.943316152115207)	('>1k', 15.336719840808385)	('>5k', 12.500983082388423)	('>10k+', 57.25722679542016)
