tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,species_tax_ids,known_pathogen,sample_name,uploader,overall_job_status,runtime_seconds,total_reads,passed_filters,passed_filters_percent,host_organism,total_ercc_reads,subsampled_fraction,quality_control,compression_ratio,reads_after_bowtie2_ercc_filtered,reads_after_fastp,reads_after_bowtie2_host_filtered,reads_after_hisat2_host_filtered,reads_after_czid_dedup,sample_type,nucleotide_type,collection_date,water_control,state,site,habitat,species,lineage,family
2805777,1,-200249310,Xanthi chryso-like virus,,viruses,False,,,,,,,,0.1191146919634508,1.0,,,72.0,25.0,10^-3.08197,,0,PM3183,Jorge Alberto Castro Rodríguez,COMPLETE,1590,8395294,64936,0.773,Mosquito,24.0,1.0,83.569,1.12,8395270,7015864,4003586,3931426,57760,Whole Body,RNA,01/01/2024,No,Quintana Roo,Caobas,diversificado,aedes_serratus,"OrderedDict({'species': 'Xanthi chryso-like virus', 'family': 'Chrysoviridae', 'suborder': 'Alphatotivirineae', 'order': 'Ghabrivirales', 'class': 'Chrymotiviricetes', 'phylum': 'Duplornaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chrysoviridae
2842652,2,2842652,Doliuvirus,,viruses,False,,,,,,,,0.1085575245236875,1.0,,,76.0,25.0,10^-4.84466,[2844094],0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'genus': 'Doliuvirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
2844094,1,2842652,Doliuvirus culisetae,,viruses,False,,,,,,,,0.1085575245236875,1.0,,,76.0,25.0,10^-4.84466,,0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'species': 'Doliuvirus culisetae', 'genus': 'Doliuvirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
2842620,2,2842620,Culicidavirus,,viruses,False,,,,,,,,0.1085575245236875,1.0,,,73.9,23.0,10^-4.33913,[2844037],0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'genus': 'Culicidavirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
2844037,1,2842620,Culicidavirus culicidae,,viruses,False,,,,,,,,0.1085575245236875,1.0,,,73.9,23.0,10^-4.33913,,0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'species': 'Culicidavirus culicidae', 'genus': 'Culicidavirus', 'family': 'Chuviridae', 'order': 'Jingchuvirales', 'class': 'Monjiviricetes', 'subphylum': 'Haploviricotina', 'phylum': 'Negarnaviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Chuviridae
542837,2,542837,Zindervirus,,viruses,True,,,,,,,,1.085575245236876,10.0,,,100.0,59.0,10^-37.9208,[194966],0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'genus': 'Zindervirus', 'subfamily': 'Molineuxvirinae', 'family': 'Autosignataviridae', 'order': 'Autographivirales', 'class': 'Caudoviricetes', 'phylum': 'Uroviricota', 'kingdom': 'Heunggongvirae', 'realm': 'Duplodnaviria', 'acellular root': 'Viruses'})",Autosignataviridae
194966,1,542837,Zindervirus SP6,,viruses,True,,,,,,,,1.085575245236876,10.0,,,100.0,59.0,10^-37.9208,,0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'species': 'Zindervirus SP6', 'genus': 'Zindervirus', 'subfamily': 'Molineuxvirinae', 'family': 'Autosignataviridae', 'order': 'Autographivirales', 'class': 'Caudoviricetes', 'phylum': 'Uroviricota', 'kingdom': 'Heunggongvirae', 'realm': 'Duplodnaviria', 'acellular root': 'Viruses'})",Autosignataviridae
232799,2,232799,Iflavirus,,viruses,False,0.1085575245236875,1.0,,,97.368,76.0,10^-36.6042,,,,,,,,[2970550],0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'genus': 'Iflavirus', 'family': 'Iflaviridae', 'order': 'Picornavirales', 'class': 'Pisoniviricetes', 'phylum': 'Pisuviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Iflaviridae
2970550,1,232799,Enontekio iflavirus,,viruses,False,0.1085575245236875,1.0,,,97.368,76.0,10^-36.6042,,,,,,,,,0,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'species': 'Enontekio iflavirus', 'genus': 'Iflavirus', 'family': 'Iflaviridae', 'order': 'Picornavirales', 'class': 'Pisoniviricetes', 'phylum': 'Pisuviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Iflaviridae
11019,2,11019,Alphavirus,arboviruses group A,viruses,False,2.7139381130921896,25.0,,,99.8421,291.28,10^-217.134,,,,,,,,[11033],1,PM3051,Jorge Alberto Castro Rodríguez,COMPLETE,2595,9211760,415502,4.511,Mosquito,54.0,1.0,85.99,1.06,9211706,7921128,4027760,3928750,392868,Whole Body,RNA,01/01/2024,No,Campeche,Palizada,rural,aedes_serratus,"OrderedDict({'genus': 'Alphavirus', 'family': 'Togaviridae', 'order': 'Martellivirales', 'class': 'Alsuviricetes', 'phylum': 'Kitrinoviricota', 'kingdom': 'Orthornavirae', 'realm': 'Riboviria', 'acellular root': 'Viruses'})",Togaviridae
