Sample,Mapping_Tool,Assembler,Read_Type,File,Num_Contigs,Total_Length,Max_Length,Min_Length,Avg_Length,N50,GC_Percent
PM3183,Bowtie,rnaSPAdes,unpaired_R1,soft_filtered_transcripts,24,9397,391.5,86,2174,1578,60.67
PM3183,Bowtie,rnaSPAdes,unpaired_R1,hard_filtered_transcripts,7,7706,1100.9,173,2174,1578,62.58
PM2469,Bowtie,MEGAhit,unpaired_R1,final.contigs,45,23667,525.9,203,2647,flag=1,0.00
PM2486,Bowtie,MEGAhit,unpaired_R1,final.contigs,1467,620163,422.7,201,2664,flag=3,0.00
PM2494,Bowtie,MEGAhit,unpaired_R1,final.contigs,533,246883,463.2,204,2805,flag=3,0.00
PM2497,Bowtie,MEGAhit,unpaired_R1,final.contigs,323,144382,447.0,230,2336,flag=3,0.00
PM2524,Bowtie,MEGAhit,unpaired_R1,final.contigs,634,280522,442.5,208,2423,flag=3,0.00
PM2528,Bowtie,MEGAhit,unpaired_R1,final.contigs,8,7296,912.0,508,1612,flag=1,0.00
PM2539,Bowtie,MEGAhit,unpaired_R1,final.contigs,529,230301,435.4,204,2666,flag=3,0.00
PM2577,Bowtie,MEGAhit,unpaired_R1,final.contigs,324,121331,374.5,211,2281,flag=3,0.00
PM2601,Bowtie,MEGAhit,unpaired_R1,final.contigs,50,27570,551.4,232,2527,flag=3,0.00
PM2616,Bowtie,MEGAhit,unpaired_R1,final.contigs,759,272975,359.7,205,2959,flag=3,0.00
PM2622,Bowtie,MEGAhit,unpaired_R1,final.contigs,76,33715,443.6,230,2190,flag=3,0.00
PM3050,Bowtie,MEGAhit,unpaired_R1,final.contigs,20,11255,562.8,201,2190,flag=1,0.00
PM3051,Bowtie,MEGAhit,unpaired_R1,final.contigs,8,8025,1003.1,220,2196,flag=1,0.00
PM3183,Bowtie,MEGAhit,unpaired_R1,final.contigs,7,7515,1073.6,678,1580,flag=1,0.00
PM2469,Bowtie,rnaSPAdes,unpaired_R2,transcripts,39,10783,276.5,118,780,384,57.49
PM2469,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,56,12829,229.1,97,780,240,55.35
PM2469,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,22,8237,374.4,164,780,471,58.22
PM2486,Bowtie,rnaSPAdes,unpaired_R2,transcripts,512,115168,224.9,134,2416,199,46.60
PM2486,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,834,160915,192.9,107,2416,176,46.79
PM2486,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,178,56821,319.2,156,2416,287,48.85
PM2494,Bowtie,rnaSPAdes,unpaired_R2,transcripts,186,48722,261.9,132,2409,240,50.03
PM2494,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,284,62789,221.1,107,2409,196,49.46
PM2494,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,82,30838,376.1,169,2409,328,52.04
PM2497,Bowtie,rnaSPAdes,unpaired_R2,transcripts,227,59252,261.0,134,2419,220,47.61
PM2497,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,371,79871,215.3,107,2419,186,47.89
PM2497,Bowtie,rnaSPAdes,unpaired_R2,hard_filtered_transcripts,85,34671,407.9,166,2419,380,50.18
PM2524,Bowtie,rnaSPAdes,unpaired_R2,transcripts,357,85799,240.3,132,2413,210,46.93
PM2524,Bowtie,rnaSPAdes,unpaired_R2,soft_filtered_transcripts,527,110327,209.3,107,2413,188,46.72
